Name,Car_Price,Kilometers_Driven,Price_per_Km
Hyundai Creta 1.6 CRDi SX Option,12.5,41000,0.0003048780487804878
Honda Jazz V,4.5,46000,9.782608695652174e-05
Maruti Ertiga VDI,6.0,87000,6.896551724137931e-05
Audi A4 New 2.0 TDI Multitronic,17.74,40670,0.00043619375461027783
Nissan Micra Diesel XV,3.5,86999,4.023034747525834e-05
Toyota Innova Crysta 2.8 GX AT 8S,17.5,36000,0.0004861111111111111
Volkswagen Vento Diesel Comfortline,5.2,64430,8.070774483936054e-05
Tata Indica Vista Quadrajet LS,1.95,65932,2.957592671237032e-05
Maruti Ciaz Zeta,9.95,25692,0.00038728008718667286
Honda City 1.5 V AT Sunroof,4.49,60000,7.483333333333334e-05
Maruti Swift VDI BSIV,5.6,64424,8.692412765429032e-05
Land Rover Range Rover 2.2L Pure,27.0,72000,0.000375
Land Rover Freelander 2 TD4 SE,17.5,85000,0.00020588235294117648
Mitsubishi Pajero Sport 4X4,15.0,110000,0.00013636363636363637
Honda Amaze S i-Dtech,5.4,58950,9.160305343511451e-05
Maruti Swift DDiS VDI,5.99,25000,0.0002396
Renault Duster 85PS Diesel RxL Plus,6.34,77469,8.183918728781835e-05
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,28.0,78500,0.000356687898089172
BMW 3 Series 320d,18.55,32982,0.0005624279910254078
Maruti S Cross DDiS 200 Alpha,8.25,55392,0.00014893847487001732
Audi A6 2011-2015 35 TFSI Technology,23.5,55985,0.0004197552915959632
Hyundai i20 1.2 Magna,1.87,45807,4.082345493046914e-05
Volkswagen Vento Petrol Highline AT,2.85,33000,8.636363636363636e-05
Honda City Corporate Edition,4.25,51920,8.185670261941448e-05
Nissan Micra Diesel XV,4.25,54000,7.87037037037037e-05
Maruti Alto K10 2010-2014 VXI,2.75,54000,5.092592592592592e-05
Honda WRV i-VTEC VX,9.9,37430,0.0002644937216136789
Toyota Innova 2.5 V Diesel 7-seater,4.0,262000,1.5267175572519083e-05
Renault Duster 110PS Diesel RxZ Pack,7.75,62000,0.000125
Toyota Corolla Altis G,6.75,87615,7.704160246533128e-05
Mahindra Ssangyong Rexton RX7,12.5,72000,0.00017361111111111112
Audi A6 2.7 TDI,11.5,35000,0.00032857142857142856
Volkswagen Vento 1.6 Highline,6.98,55431,0.00012592231783658964
Maruti Wagon R LXI BSIII,1.85,83816,2.2072158060513508e-05
Maruti Vitara Brezza ZDi Plus,8.63,50075,0.0001723414877683475
Mahindra KUV 100 mFALCON G80 K6 5str AW,4.85,52000,9.326923076923077e-05
Mercedes-Benz M-Class ML 350 CDI,28.0,85000,0.0003294117647058824
Volkswagen Polo Diesel Trendline 1.2L,5.0,62000,8.064516129032258e-05
Maruti Alto LXi,1.25,90000,1.388888888888889e-05
Tata Nano LX SE,1.53,19698,7.767286018885166e-05
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,5.58,22033,0.00025325647891798664
Hyundai i20 Magna Optional 1.2,4.74,35487,0.00013357003973285992
Hyundai Elantra 2.0 SX Option AT,8.85,46374,0.00019083969465648855
Toyota Corolla Altis G AT,10.11,52001,0.00019441933808965212
Hyundai Elantra CRDi,4.25,58005,7.326954572881649e-05
Toyota Innova Crysta 2.7 GX MT,10.95,70704,0.00015487101154107262
