Name,Year,Fuel_Type,Price
Hyundai Creta 1.6 CRDi SX Option,2015,Diesel,12.5
Honda Jazz V,2011,Petrol,4.5
Maruti Ertiga VDI,2012,Diesel,6.0
Audi A4 New 2.0 TDI Multitronic,2013,Diesel,17.74
Nissan Micra Diesel XV,2013,Diesel,3.5
Toyota Innova Crysta 2.8 GX AT 8S,2016,Diesel,17.5
Volkswagen Vento Diesel Comfortline,2013,Diesel,5.2
Tata Indica Vista Quadrajet LS,2012,Diesel,1.95
Maruti Ciaz Zeta,2018,Petrol,9.95
Honda City 1.5 V AT Sunroof,2012,Petrol,4.49
Maruti Swift VDI BSIV,2015,Diesel,5.6
Land Rover Range Rover 2.2L Pure,2014,Diesel,27.0
Land Rover Freelander 2 TD4 SE,2012,Diesel,17.5
Mitsubishi Pajero Sport 4X4,2014,Diesel,15.0
Honda Amaze S i-Dtech,2016,Diesel,5.4
Maruti Swift DDiS VDI,2017,Diesel,5.99
Renault Duster 85PS Diesel RxL Plus,2014,Diesel,6.34
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2014,Diesel,28.0
BMW 3 Series 320d,2014,Diesel,18.55
Maruti S Cross DDiS 200 Alpha,2015,Diesel,8.25
Audi A6 2011-2015 35 TFSI Technology,2015,Petrol,23.5
Hyundai i20 1.2 Magna,2010,Petrol,1.87
Volkswagen Vento Petrol Highline AT,2010,Petrol,2.85
Honda City Corporate Edition,2012,Petrol,4.25
Nissan Micra Diesel XV,2012,Diesel,4.25
Maruti Alto K10 2010-2014 VXI,2013,Petrol,2.75
Honda WRV i-VTEC VX,2018,Petrol,9.9
Toyota Innova 2.5 V Diesel 7-seater,2007,Diesel,4.0
Renault Duster 110PS Diesel RxZ Pack,2013,Diesel,7.75
Toyota Corolla Altis G,2012,Petrol,6.75
Mahindra Ssangyong Rexton RX7,2013,Diesel,12.5
Audi A6 2.7 TDI,2010,Diesel,11.5
Volkswagen Vento 1.6 Highline,2014,Petrol,6.98
Maruti Wagon R LXI BSIII,2009,Petrol,1.85
Maruti Vitara Brezza ZDi Plus,2018,Diesel,8.63
Mahindra KUV 100 mFALCON G80 K6 5str AW,2017,Petrol,4.85
Mercedes-Benz M-Class ML 350 CDI,2013,Diesel,28.0
Volkswagen Polo Diesel Trendline 1.2L,2013,Diesel,5.0
